word,frequency
bob,217303
combined,216968
impact,216889
typically,216423
activity,216273
churches,215852
removed,215743
railroad,215685
founder,215252
forward,215164
lies,214978
bus,214945
drums,214912
fame,214392
municipal,214107
becomes,214074
focus,213953
highly,213869
internet,213673
transportation,213591
ordered,213565
capacity,213529
continue,213462
method,212932
grew,212787
divided,212585
concert,212560
commonly,212478
zone,212443
produce,212439
basis,212401
joint,212256
females,212041
morning,211979
independence,211973
intended,211879
comics,211706
resources,211619
leaves,211606
sons,211426
store,211342
disease,211188
environmental,211049
smaller,211004
defeat,210944
keep,210851
liberal,210790
coming,210762
meet,210639
squad,210622
potential,210606
brigade,210576
grant,210499
image,210481
principal,210140
literary,210104
machine,210016
horse,209840
poetry,209828
households,209762
federation,209027
follows,209015
hosted,208958
destroyed,208504
votes,208378
things,208363
concept,208311
fine,208201
windows,208196
compared,208044
exhibition,207874
ball,207856
mexican,207428
block,207082
hold,206832
know,206775
freedom,206512
assigned,206389
platform,206210
product,206128
efforts,206125
giving,206058
job,206034
captured,205581
quickly,205524
turkey,205402
floor,205119
nominated,205047
box,204843
probably,204835
charge,204704
painting,204422
reach,204399
approach,204352
theater,204252
applied,204154
miss,204079
except,203977
maria,203656
challenge,203624
ability,203405
respectively,203053
titled,202434
arms,202140
account,202064
join,201701
recently,201519
hard,201440
roles,201374
purchased,201338
vice,201283
declared,201103
accepted,201041
deep,200710
content,200670
imperial,200557
origin,200190
firm,200161
basic,199925
distance,199719
knowledge,199620
athletics,199378
ocean,199292
positions,198938
religion,198552
creation,198482
younger,198322
teaching,197959
owner,197737
build,197527
reports,197152
presidential,197005
category,196995
trust,196881
adopted,196739
percent,196492
letters,196467
traffic,196333
palace,196270
clear,196178
attention,196161
journalist,196069
split,195997
confirmed,195780
learning,195659
needed,195571
sales,195553
bar,195267
don,194790
tax,194513
finals,194123
estimated,194099
let,194022
beyond,193863
weekly,193708
coaches,193696
wrestling,193683
theme,193653
conservative,193281
damage,193088
seats,193019
median,193013
starring,192944
secret,192770
problem,192768
reference,192672
pressure,192397
sri,192301
officials,192190
performances,192138
publication,192120
guest,191995
directors,191903
pay,191668
opposition,191182
holy,191070
storm,191016
largely,190967
agreed,190964
serves,190958
yards,190821
gained,190696
combat,190617
scoring,190567
fox,190523
price,190500
surname,190319
widely,190315
planning,190217
materials,190193
flying,189927
metropolitan,189851
classic,189784
suffered,189700
american_football,189669
agent,189505
regions,189436
alternative,189173
amount,189075
presence,188852
studios,188786
animals,188776
harry,188695
philosophy,188672
southeast,188552
occurred,188529
fell,188526
ice_hockey,188346
educated,188343
cell,188202
versions,187712
armed,187637
intelligence,187582
mentioned,187572
gun,187332
singers,187181
laws,186966
